,OBJECTID,ARREST_DATE,TOP_CHARGE_DESC,HOME_PSA,CRIME_PSA,District
10168,11169,2014-06-26T00:00:00.000Z,UNLAWFUL ENTRY,601,601,6
10169,11170,2014-06-26T00:00:00.000Z,UNLAWFUL ENTRY,601,601,6
10170,11171,2014-06-26T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,505,503,5
10171,11172,2014-06-26T00:00:00.000Z,ROBBERY,108,108,1
10172,11173,2014-06-27T00:00:00.000Z,SIMPLE ASSAULT,308,705,7
10173,11174,2014-06-27T00:00:00.000Z,SIMPLE ASSAULT,608,602,6
10174,11175,2014-06-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",505,405,4
10175,11176,2014-06-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",505,405,4
10176,11177,2014-06-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",602,405,4
10177,11178,2014-06-27T00:00:00.000Z,ROBBERY,108,108,1
10178,11179,2014-06-27T00:00:00.000Z,APO (MISD),702,106,1
10179,11180,2014-06-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",601,602,6
10180,11181,2014-06-27T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],402,703,7
10181,11182,2014-06-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",601,602,6
10182,11183,2014-06-28T00:00:00.000Z,THREATS (FELONY),504,504,5
10183,11184,2014-06-28T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,603,603,6
10184,11185,2014-06-28T00:00:00.000Z,UCSA POSSESSION MARIJUANA,605,703,7
10185,11186,2014-06-28T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",601,106,1
10186,11187,2014-06-28T00:00:00.000Z,SIMPLE ASSAULT,603,603,6
10187,11188,2014-06-28T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (B),507,507,5
10188,11189,2014-06-29T00:00:00.000Z,TAMPERING WITH AUTO,103,506,5
10189,11190,2014-06-29T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,706,705,7
10190,11191,2014-06-29T00:00:00.000Z,JUVENILE CUSTODY ORDER - FTA,504,704,7
10191,11192,2014-06-29T00:00:00.000Z,ASSAULT WITH A DANGEROUS WEAPON,707,607,6
10192,11193,2014-06-29T00:00:00.000Z,FAILURE TO APPEAR,705,705,7
10193,11194,2014-06-29T00:00:00.000Z,SIMPLE ASSAULT,409,409,4
10194,11195,2014-06-29T00:00:00.000Z,SIMPLE ASSAULT,409,409,4
10195,11196,2014-06-30T00:00:00.000Z,APO (MISD),304,409,4
10196,11197,2014-06-30T00:00:00.000Z,THEFT SECOND DEGREE,503,103,1
10197,11198,2014-06-30T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,708,708,7
10198,11199,2014-07-01T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,602,409,4
10200,11201,2014-07-01T00:00:00.000Z,RECEIVING STOLEN PROPERTY $1000 OR MORE,702,708,7
10201,11202,2014-07-01T00:00:00.000Z,ROBBERY W/ARMED (OTHER DANGEROUS WEAPON),704,107,1
10202,11203,2014-07-01T00:00:00.000Z,SIMPLE ASSAULT,606,606,6
10203,11204,2014-07-01T00:00:00.000Z,SIMPLE ASSAULT,408,407,4
10205,11206,2014-07-02T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,706,COURT,0
10206,11207,2014-07-02T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,602,102,1
10207,11208,2014-07-02T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,604,102,1
10208,11209,2014-07-02T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,604,601,6
10209,11210,2014-07-02T00:00:00.000Z,NO PERMIT,604,604,6
10210,11211,2014-07-03T00:00:00.000Z,FUGITIVE FROM JUSTICE,608,405,4
10211,11212,2014-07-03T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,503,102,1
10212,11213,2014-07-03T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,701,702,7
10213,11214,2014-07-04T00:00:00.000Z,DEFACING PUBLIC OR PRIVATE PROPERTY,701,701,7
10214,11215,2014-07-04T00:00:00.000Z,DEFACING PUBLIC OR PRIVATE PROPERTY,701,701,7
10215,11216,2014-07-04T00:00:00.000Z,FUGITIVE FROM JUSTICE,UNK,604,6
10216,11217,2014-07-04T00:00:00.000Z,ILLEGAL GAMBLING,308,501,5
10217,11218,2014-07-04T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,601,604,6
10218,11219,2014-07-04T00:00:00.000Z,SIMPLE ASSAULT,603,604,6
10219,11220,2014-07-04T00:00:00.000Z,SIMPLE ASSAULT,Out of State,403,4
10220,11221,2014-07-04T00:00:00.000Z,SIMPLE ASSAULT,402,403,4
10221,11222,2014-07-04T00:00:00.000Z,UCSA PWID MARIJUANA,708,703,7
10222,11223,2014-07-05T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,Out of State,105,1
10223,11224,2014-07-05T00:00:00.000Z,AGGRAVATED ASSAULT,Out of State,305,3
10224,11225,2014-07-05T00:00:00.000Z,AGGRAVATED ASSAULT,Out of State,305,3
10225,11226,2014-07-05T00:00:00.000Z,AGGRAVATED ASSAULT,Out of State,305,3
10226,11227,2014-07-05T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,602,608,6
10227,11228,2014-07-05T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,701,701,7
10228,11229,2014-07-05T00:00:00.000Z,SIMPLE ASSAULT,607,607,6
10229,11230,2014-07-05T00:00:00.000Z,THREATS (FELONY),702,702,7
10230,11231,2014-07-05T00:00:00.000Z,UNLAWFUL ENTRY,706,706,7
10231,11232,2014-07-06T00:00:00.000Z,ADW GUN,701,701,7
10232,11233,2014-07-06T00:00:00.000Z,CARRYING A RIFLE OR SHOTGUN,Out of State,703,7
10233,11234,2014-07-06T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",105,602,6
10234,11235,2014-07-06T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",Out of State,602,6
10235,11236,2014-07-06T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",106,602,6
10236,11237,2014-07-06T00:00:00.000Z,SECOND DEGREE CHILD SEX ABUSE,604,701,7
10237,11238,2014-07-06T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,701,701,7
10238,11239,2014-07-07T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,706,706,7
10239,11240,2014-07-07T00:00:00.000Z,FUGITIVE FROM JUSTICE,608,COURT,0
10240,11241,2014-07-07T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,306,403,4
10241,11242,2014-07-07T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,602,602,6
10242,11243,2014-07-07T00:00:00.000Z,SIMPLE ASSAULT,704,704,7
10243,11244,2014-07-07T00:00:00.000Z,THEFT I STOLEN AUTO,601,601,6
10244,11245,2014-07-07T00:00:00.000Z,THEFT SECOND DEGREE,404,402,4
10245,11246,2014-07-07T00:00:00.000Z,UCSA POSSESSION MARIJUANA,Out of State,206,2
10246,11247,2014-07-07T00:00:00.000Z,UNLAWFUL ENTRY,605,605,6
10247,11248,2014-07-08T00:00:00.000Z,APO (MISD),602,602,6
10248,11249,2014-07-08T00:00:00.000Z,APO (MISD),UNK,602,6
10249,11250,2014-07-08T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,607,607,6
10251,11252,2014-07-08T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,Out of State,409,4
10252,11253,2014-07-08T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,507,107,1
10253,11254,2014-07-08T00:00:00.000Z,JUVENILE CUSTODY ORDER - FTA,602,602,6
10254,11255,2014-07-08T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,603,603,6
10255,11256,2014-07-08T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",606,202,2
10256,11257,2014-07-08T00:00:00.000Z,SIMPLE ASSAULT,602,602,6
10257,11258,2014-07-08T00:00:00.000Z,SIMPLE ASSAULT,707,707,7
10258,11259,2014-07-08T00:00:00.000Z,SIMPLE ASSAULT,503,503,5
10261,11262,2014-07-09T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,404,409,4
10262,11263,2014-07-09T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,506,506,5
10263,11264,2014-07-09T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,601,504,5
10264,11265,2014-07-09T00:00:00.000Z,POSS W/I TO DIST MARIJUANA-MISD,407,504,5
10265,11266,2014-07-09T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,308,308,3
10266,11267,2014-07-09T00:00:00.000Z,"POSSESSION OF PROHIBITED WEAPON (A) (BLACKJACK, GUN, KNIFE)",704,703,7
10267,11268,2014-07-09T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",702,702,7
10268,11269,2014-07-09T00:00:00.000Z,UCSA POSSESSION MARIJUANA,703,504,5
10269,11270,2014-07-09T00:00:00.000Z,UCSA PWID MARIJUANA,603,504,5
10270,11271,2014-07-10T00:00:00.000Z,ASSAULT WITH A DANGEROUS WEAPON,Out of State,604,6
10271,11272,2014-07-10T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,603,108,1
10272,11273,2014-07-10T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,601,605,6
10273,11274,2014-07-10T00:00:00.000Z,FUGITIVE FROM JUSTICE,505,507,5
10275,11276,2014-07-10T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,409,409,4
10276,11277,2014-07-10T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,405,COURT,0
10277,11278,2014-07-10T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,601,506,5
10278,11279,2014-07-10T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,404,408,4
10279,11280,2014-07-10T00:00:00.000Z,POSSESSION PROHIBITED WEAPON (A),404,404,4
10280,11281,2014-07-10T00:00:00.000Z,SHOPLIFTING,106,603,6
10281,11282,2014-07-10T00:00:00.000Z,SHOPLIFTING,608,603,6
10282,11283,2014-07-10T00:00:00.000Z,SHOPLIFTING,608,603,6
10283,11284,2014-07-10T00:00:00.000Z,SHOPLIFTING,608,603,6
10284,11285,2014-07-10T00:00:00.000Z,SHOPLIFTING,604,603,6
10285,11286,2014-07-10T00:00:00.000Z,THEFT 1 (THEFT F/BUILDING),608,101,1
10286,11287,2014-07-11T00:00:00.000Z,ADW OTHER DANGEROUS WEAPON,602,602,6
10287,11288,2014-07-11T00:00:00.000Z,APO (MISD),103,506,5
10288,11289,2014-07-11T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],103,506,5
10289,11290,2014-07-11T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],507,507,5
10290,11291,2014-07-11T00:00:00.000Z,DESTRUCTION OF PROPERTY - FELONY,703,703,7
10291,11292,2014-07-11T00:00:00.000Z,DESTRUCTION OF PROPERTY - FELONY,704,703,7
10292,11293,2014-07-11T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,606,608,6
10293,11294,2014-07-11T00:00:00.000Z,POSSESSION OF UNREGISTERED AMMUNITION,706,706,7
10294,11295,2014-07-11T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,409,302,3
10295,11296,2014-07-11T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",608,608,6
10296,11297,2014-07-11T00:00:00.000Z,SIMPLE ASSAULT,501,403,4
10297,11298,2014-07-12T00:00:00.000Z,APO (MISD),506,507,5
10298,11299,2014-07-12T00:00:00.000Z,CARRYING A PISTOL,603,105,1
10299,11300,2014-07-12T00:00:00.000Z,CARRYING DANGEROUS WEAPON-FELONY,105,105,1
10300,11301,2014-07-12T00:00:00.000Z,NO PERMIT,604,308,3
10301,11302,2014-07-12T00:00:00.000Z,"POSSESSION OF PROHIBITED WEAPON (A) (BLACKJACK, GUN, KNIFE)",603,105,1
10302,11303,2014-07-12T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
10303,11304,2014-07-12T00:00:00.000Z,SIMPLE ASSAULT,Out of State,303,3
10304,11305,2014-07-12T00:00:00.000Z,SIMPLE ASSAULT,603,601,6
10305,11306,2014-07-13T00:00:00.000Z,ADW OTHER DANGEROUS WEAPON,106,106,1
10306,11307,2014-07-13T00:00:00.000Z,ATTEMPT TO COMMIT ROBBERY,704,705,7
10307,11308,2014-07-13T00:00:00.000Z,SIMPLE ASSAULT,601,601,6
10308,11309,2014-07-13T00:00:00.000Z,SIMPLE ASSAULT,602,602,6
10309,11310,2014-07-13T00:00:00.000Z,UCSA POSSESSION MARIJUANA,UNK,604,6
10310,11311,2014-07-13T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,Out of State,403,4
10311,11312,2014-07-14T00:00:00.000Z,POSSESS PROHIBITED WEAPON,304,603,6
10312,11313,2014-07-14T00:00:00.000Z,FAILURE TO APPEAR,505,106,1
10313,11314,2014-07-14T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,304,308,3
10315,11316,2014-07-14T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,605,COURT,0
10316,11317,2014-07-14T00:00:00.000Z,NO PERMIT,208,505,5
10317,11318,2014-07-14T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,406,507,5
10318,11319,2014-07-14T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,507,603,6
10319,11320,2014-07-14T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,603,603,6
10320,11321,2014-07-14T00:00:00.000Z,UNAUTHORIZED USE OF VEHICLE (UUV),208,505,5
10321,11322,2014-07-14T00:00:00.000Z,UNLAWFUL ENTRY,604,505,5
10322,11323,2014-07-15T00:00:00.000Z,BURGLARY TWO,506,106,1
10323,11324,2014-07-15T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,Out of State,603,6
10324,11325,2014-07-15T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,701,COURT,0
10325,11326,2014-07-15T00:00:00.000Z,METRO - FAIL TO PAY FARE,602,603,6
10326,11327,2014-07-15T00:00:00.000Z,POSSESSION OF UNREGISTERED FIREARM,402,402,4
10327,11328,2014-07-15T00:00:00.000Z,POSSESSION OF UNREGISTERED FIREARM,402,402,4
10328,11329,2014-07-15T00:00:00.000Z,POSSESSION OF UNREGISTERED FIREARM,402,402,4
10329,11330,2014-07-15T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,507,102,1
10330,11331,2014-07-15T00:00:00.000Z,THREATS (FELONY),402,604,6
10331,11332,2014-07-15T00:00:00.000Z,UCSA POSSESSION HEROIN,106,506,5
10332,11333,2014-07-15T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,604,602,6
10333,11334,2014-07-16T00:00:00.000Z,ASSAULT W/I TO COMMIT ROBBERY (AWIR),603,605,6
10334,11335,2014-07-16T00:00:00.000Z,ASSAULT W/I TO COMMIT ROBBERY (AWIR),603,605,6
10335,11336,2014-07-16T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,507,507,5
10336,11337,2014-07-16T00:00:00.000Z,NO PERMIT,708,501,5
10337,11338,2014-07-16T00:00:00.000Z,RECEIVING STOLEN PROPERTY $1000 OR MORE,504,504,5
10338,11339,2014-07-16T00:00:00.000Z,RECEIVING STOLEN PROPERTY $1000 OR MORE,604,504,5
10339,11340,2014-07-16T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",608,608,6
10341,11342,2014-07-16T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
10342,11343,2014-07-16T00:00:00.000Z,SIMPLE ASSAULT,503,507,5
10343,11344,2014-07-16T00:00:00.000Z,SIMPLE ASSAULT,602,602,6
10344,11345,2014-07-16T00:00:00.000Z,THEFT I STOLEN AUTO,708,501,5
10345,11346,2014-07-16T00:00:00.000Z,THEFT I STOLEN AUTO,507,507,5
10346,11347,2014-07-17T00:00:00.000Z,BURGLARY TWO,604,505,5
10347,11348,2014-07-17T00:00:00.000Z,POSSESSION OF UNREGISTERED AMMUNITION,703,105,1
10348,11349,2014-07-17T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,403,502,5
10349,11350,2014-07-17T00:00:00.000Z,TAMPERING WITH AUTO,602,108,1
10350,11351,2014-07-17T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,401,703,7
10351,11352,2014-07-18T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],703,703,7
10352,11353,2014-07-18T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],406,403,4
10353,11354,2014-07-18T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,703,703,7
10354,11355,2014-07-18T00:00:00.000Z,METRO - FAIL TO PAY FARE,703,703,7
10355,11356,2014-07-19T00:00:00.000Z,ADW GUN,402,604,6
10356,11357,2014-07-19T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],106,105,1
10357,11358,2014-07-19T00:00:00.000Z,CARRYING A PISTOL,604,103,1
10358,11359,2014-07-19T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,604,604,6
10359,11360,2014-07-19T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",507,107,1
10360,11361,2014-07-19T00:00:00.000Z,SIMPLE ASSAULT,702,702,7
10361,11362,2014-07-19T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,601,604,6
10362,11363,2014-07-20T00:00:00.000Z,BURGLARY TWO,302,302,3
10363,11364,2014-07-20T00:00:00.000Z,THREATS (FELONY),Out of State,106,1
10364,11365,2014-07-20T00:00:00.000Z,THREATS (MISD),604,106,1
10365,11366,2014-07-20T00:00:00.000Z,THREATS (MISD),UNK,106,1
10366,11367,2014-07-20T00:00:00.000Z,THREATS (MISD),UNK,106,1
10367,11368,2014-07-20T00:00:00.000Z,THREATS (MISD),UNK,106,1
10368,11369,2014-07-20T00:00:00.000Z,UNLAWFUL ENTRY OF A MOTOR VEHICLE,404,302,3
10369,11370,2014-07-21T00:00:00.000Z,ASSAULT WITH A DANGEROUS WEAPON,603,603,6
10370,11371,2014-07-21T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,704,704,7
10372,11373,2014-07-21T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,603,COURT,0
10373,11374,2014-07-21T00:00:00.000Z,SIMPLE ASSAULT,601,601,6
10374,11375,2014-07-21T00:00:00.000Z,UNLAWFUL ENTRY,606,708,7
10375,11376,2014-07-22T00:00:00.000Z,ASSAULT ON A POLICE OFFICER (FELONY),702,702,7
10376,11377,2014-07-22T00:00:00.000Z,ASSAULT ON A POLICE OFFICER [MISD],701,701,7
10377,11378,2014-07-22T00:00:00.000Z,CARJACKING,105,603,6
10378,11379,2014-07-22T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,602,608,6
10379,11380,2014-07-22T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,703,502,5
10380,11381,2014-07-22T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,506,401,4
10381,11382,2014-07-22T00:00:00.000Z,POSSESSION OF BB GUN ON PUBLIC SPACE,409,302,3
10382,11383,2014-07-22T00:00:00.000Z,SIMPLE ASSAULT,702,702,7
10383,11384,2014-07-22T00:00:00.000Z,SIMPLE ASSAULT,705,707,7
10384,11385,2014-07-22T00:00:00.000Z,SIMPLE ASSAULT,707,707,7
10385,11386,2014-07-22T00:00:00.000Z,SIMPLE ASSAULT,607,606,6
10386,11387,2014-07-22T00:00:00.000Z,UNLAWFUL ENTRY,605,504,5
10387,11388,2014-07-23T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,505,302,3
10388,11389,2014-07-24T00:00:00.000Z,ASSAULT WITH A DANGEROUS WEAPON,608,608,6
10389,11390,2014-07-24T00:00:00.000Z,ESCAPE FROM INSTITUTION OR OFFICER,504,703,7
10390,11391,2014-07-24T00:00:00.000Z,FAILURE TO APPEAR,707,COURT,0
10391,11392,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,607,607,6
10392,11393,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,608,608,6
10393,11394,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - FTA,602,701,7
10394,11395,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,306,102,1
10395,11396,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,604,604,6
10396,11397,2014-07-24T00:00:00.000Z,SIMPLE ASSAULT,707,707,7
10397,11398,2014-07-24T00:00:00.000Z,SIMPLE ASSAULT,604,604,6
10398,11399,2014-07-24T00:00:00.000Z,SIMPLE ASSAULT,104,405,4
10399,11400,2014-07-24T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,607,607,6
10400,11401,2014-07-24T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,407,407,4
10401,11402,2014-07-25T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,601,502,5
10402,11403,2014-07-25T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,502,502,5
10403,11404,2014-07-25T00:00:00.000Z,APO (FELONY),704,704,7
10404,11405,2014-07-25T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,603,104,1
10405,11406,2014-07-25T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (PPW-B),604,604,6
10406,11407,2014-07-25T00:00:00.000Z,POSSESSION OF PROHIBITED WEAPON (PPW-B),604,604,6
10407,11408,2014-07-25T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
10408,11409,2014-07-25T00:00:00.000Z,THROWING STONES OR MISSILES,703,703,7
10409,11410,2014-07-25T00:00:00.000Z,THROWING STONES OR MISSILES,703,703,7
10410,11411,2014-07-26T00:00:00.000Z,FUGITIVE FROM JUSTICE,701,202,2
10411,11412,2014-07-26T00:00:00.000Z,JUVENILE CUSTODY ORDER - FTA,702,608,6
10412,11413,2014-07-26T00:00:00.000Z,NO PERMIT,403,406,4
10413,11414,2014-07-26T00:00:00.000Z,SIMPLE ASSAULT,103,505,5
10414,11415,2014-07-27T00:00:00.000Z,APO (MISD),705,603,6
10415,11416,2014-07-27T00:00:00.000Z,FAILURE TO OBEY A LAWFUL ORDER,703,703,7
10416,11417,2014-07-27T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,607,704,7
10417,11418,2014-07-27T00:00:00.000Z,METRO - FAIL TO PAY FARE,701,703,7
10418,11419,2014-07-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",Out of State,101,1
10419,11420,2014-07-27T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",Out of State,101,1
10420,11421,2014-07-27T00:00:00.000Z,SIMPLE ASSAULT,702,702,7
10421,11422,2014-07-27T00:00:00.000Z,SIMPLE ASSAULT,504,504,5
10422,11423,2014-07-27T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,608,608,6
10423,11424,2014-07-28T00:00:00.000Z,ATTEMPT TO COMMIT ROBBERY,707,707,7
10424,11425,2014-07-28T00:00:00.000Z,BURGLARY ONE,205,402,4
10425,11426,2014-07-28T00:00:00.000Z,BURGLARY ONE,402,402,4
10426,11427,2014-07-28T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,702,702,7
10427,11428,2014-07-28T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,106,106,1
10428,11429,2014-07-28T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,409,302,3
10429,11430,2014-07-28T00:00:00.000Z,SIMPLE ASSAULT,604,704,7
10430,11431,2014-07-28T00:00:00.000Z,SIMPLE ASSAULT,603,COURT,0
10431,11432,2014-07-28T00:00:00.000Z,TAMPERING OF GPS DEVICE,106,706,7
10432,11433,2014-07-28T00:00:00.000Z,THEFT 2 (THEFT F/BUILDING),Out of State,206,2
10433,11434,2014-07-28T00:00:00.000Z,WARRANT,702,COURT,0
10434,11435,2014-07-29T00:00:00.000Z,ABSCONDER W/ARREST,601,601,6
10435,11436,2014-07-29T00:00:00.000Z,APO (MISD),606,102,1
10436,11437,2014-07-29T00:00:00.000Z,BURGLARY ONE,408,408,4
10437,11438,2014-07-29T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,103,103,1
10438,11439,2014-07-29T00:00:00.000Z,FUGITIVE FROM JUSTICE,608,507,5
10439,11440,2014-07-29T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,602,COURT,0
10441,11442,2014-07-29T00:00:00.000Z,JUVENILE CUSTODY ORDER - PREPETITION,302,503,5
10442,11443,2014-07-29T00:00:00.000Z,ROBBERY SNATCH OR PURSESNATCH,706,708,7
10443,11444,2014-07-29T00:00:00.000Z,"ROBBERY, FORCE & VIOLENCE",605,608,6
10444,11445,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,507,507,5
10445,11446,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,105,105,1
10446,11447,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,308,308,3
10447,11448,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,603,605,6
10448,11449,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,703,605,6
10449,11450,2014-07-29T00:00:00.000Z,SIMPLE ASSAULT,108,605,6
10450,11451,2014-07-30T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,605,603,6
10451,11452,2014-07-30T00:00:00.000Z,APO (MISD),704,704,7
10452,11453,2014-07-30T00:00:00.000Z,ASSAULT ON A POLICE OFFICER (FELONY),603,607,6
10453,11454,2014-07-30T00:00:00.000Z,CARRYING A PISTOL,304,706,7
10454,11455,2014-07-30T00:00:00.000Z,SIMPLE ASSAULT,405,106,1
10455,11456,2014-07-30T00:00:00.000Z,UNLAWFUL ENTRY OF A MOTOR VEHICLE,401,108,1
10456,11457,2014-07-30T00:00:00.000Z,UNLAWFUL ENTRY OF A MOTOR VEHICLE,401,108,1
10457,11458,2014-07-31T00:00:00.000Z,ADW KNIFE OR CUTTING INSTRUMENT,604,604,6
10458,11459,2014-07-31T00:00:00.000Z,DESTRUCTION OF PROPERTY - MISD,705,705,7
10459,11460,2014-07-31T00:00:00.000Z,FAILURE TO APPEAR,407,302,3
10461,11462,2014-07-31T00:00:00.000Z,JUVENILE CUSTODY ORDER - ABSCONDER,704,COURT,0
10462,11463,2014-07-31T00:00:00.000Z,SIMPLE ASSAULT,106,106,1
10463,11464,2014-07-31T00:00:00.000Z,THEFT SECOND DEGREE,603,102,1
10464,11465,2014-07-31T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,704,303,3
10465,11466,2014-07-31T00:00:00.000Z,UNAUTHORIZED USE OF A VEHICLE,704,608,6
10466,11467,2014-08-01T00:00:00.000Z,CARJACKING,506,605,6
10467,11468,2014-08-01T00:00:00.000Z,METRO - FAIL TO PAY FARE,408,102,1
10468,11469,2014-08-01T00:00:00.000Z,RECEIVING STOLEN PROPERTY $1000 OR MORE,103,103,1
10469,11470,2014-08-01T00:00:00.000Z,SIMPLE ASSAULT,506,506,5
10470,11471,2014-08-01T00:00:00.000Z,SOLICITING PROSTITUTION,504,505,5
10471,11472,2014-08-01T00:00:00.000Z,THREATS TO DO BODILY HARM - MISD,108,108,1
